bolag_namn,org_nr,review_rows,unique_reviewers,oldest_review,newest_review,weak_name_pct,trustpilot_company
"FSB Sweden Holding AB",5568340086,1,1,2026-06-10T14:03:39.000Z,2026-06-10T14:03:39.000Z,0.0,""
"HPG Sverige AB",5568433220,1,1,2026-06-10T14:03:39.000Z,2026-06-10T14:03:39.000Z,0.0,""
"Hotel Bellora Holding AB",5569942534,1,1,2026-06-10T14:03:39.000Z,2026-06-10T14:03:39.000Z,0.0,""
"Hotel KA6 AB",5569897779,1,1,2026-06-10T14:03:39.000Z,2026-06-10T14:03:39.000Z,0.0,""
"Hotell MJ AB",5590554134,1,1,2026-06-10T14:03:39.000Z,2026-06-10T14:03:39.000Z,0.0,""
"Hotellet vid sjön AB",5590099700,1,1,2026-06-10T14:03:39.000Z,2026-06-10T14:03:39.000Z,0.0,""
"MJS Hus i Malmö AB",5569942575,1,1,2026-06-10T14:03:39.000Z,2026-06-10T14:03:39.000Z,0.0,""
"S Studios Sweden Aktiebolag",5568070410,1,1,2026-06-10T14:03:39.000Z,2026-06-10T14:03:39.000Z,0.0,""
"Skönabäck Förvaltnings Aktiebolag",5564647898,1,1,2026-06-10T14:03:39.000Z,2026-06-10T14:03:39.000Z,0.0,""
"TCB Sverige AB",5569611261,1,1,2026-06-10T14:03:39.000Z,2026-06-10T14:03:39.000Z,0.0,""
"YSB AB",5564662350,1,1,2026-06-10T14:03:39.000Z,2026-06-10T14:03:39.000Z,0.0,""
"YSB Intressenter AB",5569248874,1,1,2026-06-10T14:03:39.000Z,2026-06-10T14:03:39.000Z,0.0,""
"YSB Sandskogen AB",5590086616,1,1,2026-06-10T14:03:39.000Z,2026-06-10T14:03:39.000Z,0.0,""
"Örenäs Slott Hotell och Konferens AB",5567369854,1,1,2026-06-10T14:03:39.000Z,2026-06-10T14:03:39.000Z,0.0,""
"Örenäs Slott och Egendom AB",5567985857,1,1,2026-06-10T14:03:39.000Z,2026-06-10T14:03:39.000Z,0.0,""
"MPa Engineering AB",5594077439,1,1,2026-06-04T12:50:36.000Z,2026-06-04T12:50:36.000Z,0.0,""
"Nordea Finans Sverige AB",5560211475,1,1,2026-05-18T12:48:19.000Z,2026-05-18T12:48:19.000Z,100.0,""
"LIR-H, Stockholm AB",5590329586,1,1,2026-04-01T15:20:34.000Z,2026-04-01T15:20:34.000Z,100.0,""
"LIREMA SVERIGE AB",5569812414,1,1,2026-04-01T15:20:34.000Z,2026-04-01T15:20:34.000Z,100.0,""
"Aktiebolaget Stockholmshem",5560359555,1,1,2026-03-08T18:23:32.000Z,2026-03-08T18:23:32.000Z,0.0,""
Sparbanksstiftelsen...,8024260674,1,1,2025-11-18T09:49:26.000Z,2025-11-18T09:49:26.000Z,0.0,"Prioritet Finans AB Reviews"
"CMANC Management Consulting AB",5567189542,1,1,2025-07-29T12:11:20.000Z,2025-07-29T12:11:20.000Z,0.0,""
"Two Rabbits Aktiebolag",5563179471,1,1,2025-07-29T12:11:20.000Z,2025-07-29T12:11:20.000Z,0.0,""
"Caferiet AB",5592557077,1,1,2023-10-03T21:29:29.000Z,2023-10-03T21:29:29.000Z,100.0,""
"Kaffebolaget Strömstad AB",5595050690,1,1,2023-10-03T21:29:29.000Z,2023-10-03T21:29:29.000Z,100.0,""
"Lovalisas Holding AB",5595017244,1,1,2023-10-03T21:29:29.000Z,2023-10-03T21:29:29.000Z,100.0,""
"Lipius AB",5594648924,1,1,2023-07-26T08:46:50.000Z,2023-07-26T08:46:50.000Z,0.0,""
"Allgräv & R-Power AB",5568559115,1,1,2023-05-23T18:27:16.000Z,2023-05-23T18:27:16.000Z,100.0,""
"Vara Bekväm",2222000188,1,1,2023-01-20T09:59:29.000Z,2023-01-20T09:59:29.000Z,100.0,""
"Alted AB",5565340196,1,1,2022-07-05T13:09:56.000Z,2022-07-05T13:09:56.000Z,100.0,""
"Frank & Jeansson Försäljnings Aktiebolag",5562072594,1,1,2022-07-05T13:09:56.000Z,2022-07-05T13:09:56.000Z,100.0,""
"Grafair Bromma AB",5563400901,1,1,2022-07-05T13:09:56.000Z,2022-07-05T13:09:56.000Z,100.0,""
"Grafair Flight Management AB",5565783288,1,1,2022-07-05T13:09:56.000Z,2022-07-05T13:09:56.000Z,100.0,""
"Hotel Riddargatan AB",5566275102,1,1,2022-07-05T13:09:56.000Z,2022-07-05T13:09:56.000Z,100.0,""
"Indoor Energy Group Nordic AB",5563300077,1,1,2022-07-05T13:09:56.000Z,2022-07-05T13:09:56.000Z,100.0,""
"MnO International Aktiebolag",5564979457,1,1,2022-07-05T13:09:56.000Z,2022-07-05T13:09:56.000Z,100.0,""
"Monolit Sports AB",5567299697,1,1,2022-07-05T13:09:56.000Z,2022-07-05T13:09:56.000Z,100.0,""
"Nanonestet AB",5566555123,1,1,2022-07-05T13:09:56.000Z,2022-07-05T13:09:56.000Z,100.0,""
"Nornor Holding AB",5568440670,1,1,2022-07-05T13:09:56.000Z,2022-07-05T13:09:56.000Z,100.0,""
"Noventra Holding AB",5565692125,1,1,2022-07-05T13:09:56.000Z,2022-07-05T13:09:56.000Z,100.0,""
"Originat Aktiebolag",5562219211,1,1,2022-07-05T13:09:56.000Z,2022-07-05T13:09:56.000Z,100.0,""
"Originat Holding AB",5566889043,1,1,2022-07-05T13:09:56.000Z,2022-07-05T13:09:56.000Z,100.0,""
"Purpose Aktiebolag",5561487975,1,1,2022-07-05T13:09:56.000Z,2022-07-05T13:09:56.000Z,100.0,""
"Purpose Transport och Trading AB",5565284931,1,1,2022-07-05T13:09:56.000Z,2022-07-05T13:09:56.000Z,100.0,""
"Sparvnestet AB",5565067872,1,1,2022-07-05T13:09:56.000Z,2022-07-05T13:09:56.000Z,100.0,""
"Stora Söder 11 AB",5569164386,1,1,2022-07-05T13:09:56.000Z,2022-07-05T13:09:56.000Z,100.0,""
"T J Junior AB",5565069670,1,1,2022-07-05T13:09:56.000Z,2022-07-05T13:09:56.000Z,100.0,""
"TAMT AB",5567376297,1,1,2022-07-05T13:09:56.000Z,2022-07-05T13:09:56.000Z,100.0,""
"TAMT Fastighets AB",5567437859,1,1,2022-07-05T13:09:56.000Z,2022-07-05T13:09:56.000Z,100.0,""
"Artic RARI AB",5594147372,1,1,2021-09-01T10:31:47.000Z,2021-09-01T10:31:47.000Z,0.0,""
"IT & Tele Sverige AB",5593775363,1,1,2021-09-01T10:31:47.000Z,2021-09-01T10:31:47.000Z,0.0,""
"Kim Ikonen Creatives",2222000199,1,1,2021-08-27T12:58:21.000Z,2021-08-27T12:58:21.000Z,0.0,""
"Sotenäs Vatten AB",5590848064,1,1,2021-08-14T07:24:54.000Z,2021-08-14T07:24:54.000Z,0.0,""
